data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6768009,887,YEM47016,47016,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Popular Resistance; Operation Restoring Hope",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Jawf","Al Ghayl",,"Al Adbah",16.0914,44.6618,1,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 1 February 2020, coalition backed pro-Hadi and affiliated forces reportedly attacked pro-Houthi forces in As Saqiyah (Al Ghayl, Al Jawf), and Al Adbah (Al Ghayl, Al Jawf) killing 35 pro-Houthi elements, arresting 10, looting 1 military vehicle and destroying 3 more. Fatalities split between two events.",17,1580761019,YEM
6768010,887,YEM47017,47017,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Popular Resistance; Operation Restoring Hope",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Jawf","Al Ghayl",,"Wadi as Saqiyah",16.1169,44.6894,1,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 1 February 2020, coalition backed pro-Hadi and affiliated forces reportedly attacked pro-Houthi forces in As Saqiyah (Al Ghayl, Al Jawf), and Al Adbah (Al Ghayl, Al Jawf) killing 35 pro-Houthi elements, arresting 10, looting 1 military vehicle and destroying 3 more. Fatalities split between two events.",18,1580761019,YEM
6768011,887,YEM47018,47018,"01 February 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,"Al Jawf","Al Maton",,"Al Matun",16.2306,44.5848,2,"Yemen News Agency (SABA) - Pro-Houthi; Yemen Data Project","Local partner-National","On 1 February 2020, 3 Saudi-led coalition airstrikes reportedly targeted Al Matun district (Al Jawf). No fatalities nor injuries reported.",0,1580761019,YEM
6768012,887,YEM47022,47022,"01 February 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Sadah,"Al Dhaher",,"Al Malahit",16.7685,43.2758,1,"Yemen Data Project; Ansar Allah","Local partner-National","On 1 February 2020, 6 Saudi-led coalition airstrikes reportedly targeted Al Malahit area (Al Dhaher, Sadah). No fatalities nor injuries reported.",0,1580761019,YEM
6768013,887,YEM47023,47023,"01 February 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Sadah,"As Safra",,Kinnah,17.1214,43.7549,1,"Ansar Allah; Yemen Data Project","Local partner-National","On 1 February 2020, 2 Saudi-led coalition airstrikes reportedly targeted Kinnah area in As Safra district (Sadah). No fatalities nor injuries reported.",0,1580761019,YEM
6768014,887,YEM47024,47024,"01 February 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,,,0,80,"Middle East",Yemen,Sanaa,Nihm,,"Al Madid",15.6445,44.4734,2,"Yemen News Agency (SABA) - Pro-Houthi; Yemen Data Project","Local partner-National","On 1 February 2020, 3 Saudi-led coalition airstrikes reportedly targeted Nihm district (Al Jawf). No fatalities nor injuries reported.",0,1580761019,YEM
6768015,887,YEM47025,47025,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Sanaa,Nihm,,"Al Madid",15.6445,44.4734,2,"Aden News; Yemen Data Project","Local partner-National","On 1 February, clashes erupted between pro-Hadi and affiliated forces and pro-Houthi forces on the Nihm frontline (Sanaa), killing 2 pro-Houthi commanders.",2,1580761019,YEM
6768016,887,YEM47026,47026,"01 February 2020",2020,1,Battles,"Armed clash","Ash Sharabi Communal Militia (Yemen)",,4,"Al Mikhlafi Communal Militia (Yemen)",,4,44,"Middle East",Yemen,Taizz,"Al Qahirah",,Taizz-Usayfarah,13.5968,44.0126,1,"Yemen Data Project; Al Masdar","Local partner-National","On 1 February 2020, the Sharabi militia reportedly ambushed the Mikhlafi militia in Usayfarah area of Taizz city (Al Qahirah, Taizz), injuring Ghazwan Al Mikhlafi, killing 1 of his escort, and injuring 3 other men of his escort.",1,1580761019,YEM
6768018,887,YEM47028,47028,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,11,"Middle East",Yemen,Taizz,"Sabir Al Mawadim",,Abar,13.5558,44.0592,2,"Al Masirah; Yemen Data Project","Local partner-National","On 1 February 2020, pro-Houthi forces reportedly thwarted an anti-Houthi incursion on Abar frontline (Sabir al Mawadim, Taizz), killing and injuring several anti-Houthi elements. Unknown number of fatalities and injuries coded as 10.",10,1580761019,YEM
6768019,887,YEM47029,47029,"01 February 2020",2020,1,"Violence against civilians","Sexual violence","Military Forces of Yemen (2012-)","Al Islah Party",1,"Civilians (Yemen)","Akhdam Ethnic Group (Yemen); Women (Yemen)",7,17,"Middle East",Yemen,Taizz,Salh,,Taizz,13.5795,44.0209,3,"Yemen Data Project; Aden Observer","Local partner-National","On 1 February 2020, a soldier belonging to the Taizz axis and affiliated with the Islah party reportedly attempted to rape a girl belonging to the Akhdam ethnic group in Taizz city.",0,1580761019,YEM
6768020,887,YEM47030,47030,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Taizz,Salh,,"Taizz-As Sifaa",13.5929,44.0513,2,"Yemen Data Project; Aden News","Local partner-National","On 1 February 2020, anti-Houthi and affiliated forces reportedly attacked pro-Houthi forces in the east part of Taizz [As Sifaa] (Salh, Taizz), destroying 4 military vehicles. No fatalities nor injuries reported.",0,1580761019,YEM
6768021,887,YEM47031,47031,"01 February 2020",2020,1,Battles,"Government regains territory","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Taizz,Salh,,"Taizz-Tibba Al Maqrumi",13.5767,44.058,1,"Yemen Data Project; Aden News","Local partner-National","On 1 February 2020, anti-Houthi forces attacked pro-Houthi groups on the mountain chain of Al Maqrumi, Al Jusha, and Salal in Taizz city (Salh, Taizz), gaining control over Al Maqrumi hill, killing 13 pro-Houthi elements and injuring others. Fatalities split up between 3 events.",4,1580761019,YEM
6768022,887,YEM47032,47032,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Taizz,Salh,,"Taizz-Tuba Salal",13.577,44.0422,1,"Yemen Data Project; Aden News","Local partner-National","On 1 February 2020, anti-Houthi forces attacked pro-Houthi groups on the mountain chain of Al Maqrumi, Al Jusha, and Salal in Taizz city (Salh, Taizz), gaining control over Al Maqrumi hill, killing 13 pro-Houthi elements and injuring others. Fatalities split up between 3 events.",4,1580761019,YEM
6768023,887,YEM47033,47033,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,Taizz,Salh,,"Taizz-Tuba Salal",13.577,44.0422,2,"Aden News; Yemen Data Project","Local partner-National","On 1 February 2020, anti-Houthi forces attacked pro-Houthi groups on the mountain chain of Al Maqrumi, Al Jusha, and Salal in Taizz city (Salh, Taizz), gaining control over Al Maqrumi hill, killing 13 pro-Houthi elements and injuring others. Fatalities split up between 3 events.",5,1580761019,YEM
6768030,887,YEM47019,47019,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Popular Resistance; Operation Restoring Hope",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Jawf","Al Maton",,"Jabal Ham al Asfal",16.3406,44.5845,2,"26 September News",National,"On 1 February 2020, pro-Hadi and affiliated forces reportedly clashed with pro-Houthi forces on the Ham front (Al Maton, Al Jawf) killing and wounding a number of pro-Houthi fighters. On the same front, pro-Hadi forces destroyed 3 pro-Houthi vehicles, killing one person and wounding everyone on board. Unclear fatalities coded as 11 (10+1).",11,1580761019,YEM
6768055,887,YEM47009,47009,"01 February 2020",2020,1,"Violence against civilians",Attack,"Military Forces of Yemen (2012-) Security Belt Forces",,1,"Civilians (Yemen)",,7,17,"Middle East",Yemen,Aden,"Khur Maksar",,"Aden-Khawr Maksar",12.8123,45.0334,1,"Aden al Ghad",Subnational,"On 1 February 2020, security belt forces at the al-Rehab checkpoint in Khawr Maksar (Khur Maksar, Aden) reportedly fired on a civilian vehicle. There was no information on injuries or fatalities.",0,1580761019,YEM
6768068,887,YEM47015,47015,"01 February 2020",2020,2,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Civilians (Yemen)",,7,17,"Middle East",Yemen,"Al Hudaydah","At Tuhayat",,"At Tuhayta",14.1836,43.2264,1,"Belqees Rights",Other,"On 1 February 2020, it was reported that pro-Houthi forces shelled a residential area of At Tuhayta city (At Tuhayat, Al Hudaydah) injuring 4 civilians.",0,1580761019,YEM
6768087,887,YEM47020,47020,"01 February 2020",2020,1,Protests,"Peaceful protest","Protesters (Yemen)",,6,,,0,60,"Middle East",Yemen,"Al Mahwit","Al Mahwait City",,"Al Mahwit",15.4701,43.5448,1,"Yemen News Agency (SABA) - Pro-Houthi",National,"On 1 February 2020, thousands of people in Al Mahwit (Al Mahwit City, Al Mahwit) protested against the US and the ""Deal of the Century"" for its pro-Israeli and anti-Palestinian positions. [size=thousands]",0,1580761020,YEM
6768089,887,YEM47021,47021,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)",,1,11,"Middle East",Yemen,Marib,Mahliyah,,Qaniyah,14.5712,45.27,2,"Yemeni Army","New media","On 1 February 2020, pro-Hadi forces reportedly thwarted a pro-Houthi attack on the Qaniyah (Mahliyah, Marib) and Masra' fronts. Dozens of pro-Houthi fighters were reportedly wounded.",0,1580761020,YEM
