data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6860337,887,YEM47254,47254,08-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Southern Resistance,,3,Military Forces of Yemen (2016-) Supreme Political Council,,1,13,Middle East,Yemen,Ad Dali,Qaatabah,,Al Fajir,13.8667,44.6,1,Aden al Ghad,National,On 8 February 2020 the 4th Brigade of the Southern Resistance forces reportedly shelled pro-Houthi forces near the market of Al Fajir (Qaatabah Ad Dali) destroying a pro-Houthi position and injuries some pro-Houthi fighters. No fatalities were reported.,0,1581354349,YEM
6860339,887,YEM47259,47259,08-Feb-20,2020,1,Strategic developments,Change to group/activity,Military Forces of Yemen (2012-) Security Belt Forces,STC: Southern Transitional Council,1,,,0,10,Middle East,Yemen,Aden,Craiter,,Aden,12.7794,45.0367,1,Aden al Ghad,Subnational,On 8 February 2020 some pro-STC forces (coded as Security Belt Forces) withdrew from Aden (Craiter Aden) en route to Lahij governorate as part of the implementation of the Riyadh Agreement.,0,1581354349,YEM
6860340,887,YEM47260,47260,08-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,Military Forces of Yemen (2012-),8,Military Forces of Yemen (2012-) Security Belt Forces,,1,18,Middle East,Yemen,Aden,Khur Maksar,,Aden-Khawr Maksar,12.8123,45.0334,2,Aden al Ghad,Subnational,On 8 February 2020 warplanes from the Saudi-led coalition reportedly flew over and dropped flares as a warning over a Security Belt Force in the al-Alam area (Khawr Maksar Aden) that had been preventing a pro-Hadi force from entering Aden.,0,1581354349,YEM
6860343,887,YEM47276,47276,08-Feb-20,2020,1,Violence against civilians,Attack,Police Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),Police Forces of Yemen (2016-) Supreme Political Council,7,17,Middle East,Yemen,Ibb,Al Mashannah,,Dar ash Sharaf,13.95,44.1833,1,Aden al Ghad,National,On 8 February 2020 a member of the Preventive Security forces of the Houthi security forces was reportedly detained forced to surrender his jacket and weapons then was executed by alleged members of another pro-Houthi force outside Souq al-Jabri in Dar ash Sharaf (Al Mashannah Ibb).,1,1581354349,YEM
6860359,887,YEM47277,47277,08-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,0,10,Middle East,Yemen,Marib,Majzar,,Majzar,15.85,44.775,2,Al Masdar,National,On 8 February 2020 pro-Houthi forces reportedly shelled two hospitals (one of them is Al Jafra Hospital) in the Majzar district (Majzar Marib) with no reports of injuries or fatalities.,0,1581354349,YEM
6860384,887,YEM47280,47280,08-Feb-20,2020,2,Strategic developments,Other,Civilians (Yemen),Refugees/IDPs (Yemen),7,,,0,70,Middle East,Yemen,Sanaa,Nihm,,Al Madid,15.6445,44.4734,2,Twitter,New media,On 8 February 2020 it was reported that two thousand internally displaced people were forced to flee from Al-Khaniq IDP camp in Nihm district (Nihm Sanaa) after previously being forced to relocate due to nearby fighting.,0,1581354349,YEM
6860391,887,YEM47258,47258,08-Feb-20,2020,1,Strategic developments,Disrupted weapons use,Military Forces of Yemen (2012-) Security Belt Forces,,1,Military Forces of Yemen (2016-) Supreme Political Council,,1,11,Middle East,Yemen,Ad Dali,Qaatabah,,Jabal Murays,13.9667,44.6833,2,Twitter,New media,On 8 February 2020 a Security Belt Force claimed to have downed a pro-Houthi drone unclear if combat or reconnaisance in the Murays front (Qaatabah Ad Dali),0,1581354349,YEM
6860392,887,YEM47265,47265,08-Feb-20,2020,1,Strategic developments,Looting/property destruction,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),,1,11,Middle East,Yemen,Al Hudaydah,Ad Durayhimi,,Ad Durayhimi,14.637,43.0551,2,Twitter,New media,On 8 February 2020 pro-Houthi forces reportedly downed a pro-Hadi recon drone in Ad Durayhimi district (Ad Durayhimi Al Hudaydah).,0,1581354349,YEM
6865134,887,YEM47252,47252,08-Feb-20,2020,1,Strategic developments,Change to group/activity,Military Forces of Yemen (2012-),Operation Restoring Hope; Military Forces of Saudi Arabia (2015-),1,,,0,10,Middle East,Yemen,Abyan,Khanfir,,Shuqrah,13.3568,45.6971,1,Yemen Data Project; Aden al Ghad; Al Mushahid,Local partner-National,On 8 February 2020 pro-Hadi forces accompanied by Saudi military vehicles arrived in Shuqrah and Dofas (Khanfir Abyan) after they were halted by a Security Belt Force in the Al Alam area on the eastern outskirts of Aden. The pro-Hadi and Saudi forces eventually withdrew to Shuqrah and Dofas after SBF refused to move despite reported flights by Saudi warplanes overhead. The entrance of pro-Hadi forces into Aden is a key cog in the implementation of the Riyadh Agreement.,0,1581967341,YEM
6860288,887,YEM47248,47248,07-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Hajjah,Harad,,Al Mazraq,16.558,43.1981,1,Yemen Data Project; Al Masirah,Local partner-National,On 7 February 2020 3 Saudi-led coalition airstrikes reportedly targeted Al Mazraq area (Harad Hajjah). No fatalities nor injuries reported.,0,1581354349,YEM
